'a'ba'gai'xin'zao 阿巴盖新蚤
'a'lun'da'tou'yi 阿伦大头蚁
'a'luo'ba'hong'yi 阿罗巴红蚁
'a'luo'ji'ying'shu 阿洛寄蝇属
'a'ma'chang'gang'bang 阿玛长肛棒
'a'ma'duo'ci'yi 阿玛多刺蚁
'a'mai'la'chan'shu 阿脉蜡蝉属
'a'man'da'shi'ying 阿曼达实蝇
'a'mei'da'tou'yi 阿美大头蚁
'a'mei'gong'bei'yi 阿美弓背蚁
'a'mei'gua'jia'yi 阿美寡家蚁
'a'mei'ju'fu'yi 阿美举腹蚁
'a'mei'ni'lan'de'yi 阿美尼兰德蚁
'a'mei'pu'dao'yi 阿美铺道蚁
'a'mei'xi'qie'ye'yi 阿美稀切叶蚁
'a'meng'shu 阿蠓属
'a'mi'xiong'zhu 阿米熊蛛
'a'mi'zhu'cong'ming 阿米蛛丛螟
'a'mu'er'e 阿穆尔蛾
'a'mu'er'ju'wen 阿穆尔巨蚊
'a'mu'er'lin'yan'die 阿穆尔邻眼蝶
'a'mu'er'rong'mao'ji'ying 阿穆尔茸毛寄蝇
'a'mu'ge'na'zhu 阿姆戈那蛛
'a'mu'jia'e'ji'ying 阿姆颊额寄蝇
'a'mu'rong'mao'ji'ying 阿姆茸毛寄蝇
'a'mu'wei'zhu 阿姆微蛛
'a'nei'zhu'shu 阿内蛛属
'a'ni'si'mai'mian'ya 阿拟四脉绵蚜
'a'nong'die'shu 阿弄蝶属
'a'nong'zhu'shu 阿浓蛛属
'a'nuo'gong'bei'yi 阿诺弓背蚁
'a'pa'ji'feng'shu 阿帕姬蜂属
'a'pi'jian'feng'shu 阿皮茧蜂属
'a'pu'te'pu'dao'yi 阿普特铺道蚁
'a'qi'xin'yuan'zhu 阿奇新园蛛
'a'qing'shu 阿蜻属
'a'sa'mu'bang'bi'bai'yi 阿萨姆棒鼻白蚁
'a'sa'mu'bang'yi'xiao'feng 阿萨姆邦蚁小蜂
'a'sa'mu'bi'chun 阿萨姆碧蝽
'a'sa'mu'huang'shu 阿萨姆蝗属
'a'sa'mu'ku'meng 阿萨姆库蠓
'a'sa'mu'ma'meng 阿萨姆麻虻
'a'sa'mu'mai'xian'ling 阿萨姆脉线蛉
'a'sa'mu'san'ci'jiao'chan 阿萨姆三刺角蝉
'a'sa'mu'shan'duo'la'shi'ying 阿萨姆山多拉实蝇
'a'sa'mu'tu'bai'yi 阿萨姆土白蚁
'a'sa'mu'wen'shi'zhu 阿萨姆温氏蛛
'a'sa'mu'xi'fu'shi'ya'ying 阿萨姆细腹食蚜蝇
'a'sa'mu'xi'ji'chun 阿萨姆希姬蝽
'a'sa'mu'xie'ye'zha 阿萨姆斜叶蚱
'a'sa'xiao'yao'zhu 阿萨逍遥蛛
'a'sha'jin'xiao'feng'shu 阿莎金小蜂属
'a'shi'chuan'kong'xiang 阿氏穿孔象
'a'shi'dao'fu'jian'feng 阿氏刀腹茧蜂
'a'shi'jiao'shi'jian'feng 阿氏角室茧蜂
'a'shi'jiao'wei'chun 阿氏娇尾蝽
'a'shi'ma'wu'ci'yi 阿诗玛无刺蚁
'a'shi'qiu'zhu 阿氏球蛛
'a'shi'san'feng'jian'feng 阿氏三缝茧蜂
'a'shi'song'ju'jiao'ye'feng 阿氏松锯角叶蜂
'a'shi'xi'e'ji'feng 阿氏细颚姬蜂
'a'shi'ying'shu 阿实蝇属
'a'shou'jiao'shi'chong'meng 阿痩角食虫虻
'a'shou'jiao'shi'chong'meng 阿瘦角食虫虻
'a'si'de'yin'bai'yi 阿斯德印白蚁
'a'si'guan'chao'zhu 阿斯管巢蛛
'a'si'jian'feng'shu 阿斯茧蜂属
'a'si'luo'shi'ying'shu 阿斯罗实蝇属
'a'si'ma'dian'an'chi'shi'ying 阿斯麻点暗翅实蝇
'a'si'shi'ying'shu 阿斯实蝇属
'a'si'wu'li'shi'ying'zu 阿斯乌里实蝇族
'a'si'zhu'shu 阿斯蛛属
'a'su'shan'gou'ji'feng 阿苏山沟姬蜂
'a'te'mi'si'shi'ying 阿特米斯实蝇
'a'ti'si'fei'ni'shi'ying 阿提斯菲尼实蝇
'a'wei'ya'jian'feng 阿维蚜茧蜂
'a'wen'shu 阿蚊属
'a'wen'zu 阿蚊族
'a'xi'shi'rong'zu'zao 阿希氏茸足蚤
'a'xin'shi'ying'shu 阿辛实蝇属
'a'ye'e'shu 阿夜蛾属
'a'ye'feng'shu 阿叶蜂属
'a'yi'shu 阿异属
'a'yuan'shu 阿蚖属
'a'zhou'shan'zao 阿州山蚤
'ai'bo'chi'yan'feng'shu 爱波赤眼蜂属
'ai'cai'dai'feng 埃彩带蜂
'ai'cao'dong'ye'e 艾草冬夜蛾
'ai'cao'ji'chang'guan'ya 艾草姬长管蚜
'ai'cao'xiao'chang'guan'ya 艾草小长管蚜
'ai'chi'e 埃尺蛾
'ai'chi'e'shu 埃尺蛾属
'ai'chou'ding'mao'ya 艾稠钉毛蚜
'ai'cong'ya'ke 爱蟌亚科
'ai'di'fei'luo'shi'ying 埃蒂菲洛实蝇
'ai'di'nong'die'shu 爱迪弄蝶属
'ai'e'ke 艾蛾科
'ai'e'la'chan'shu 埃蛾蜡蝉属
'ai'er'ji'ying'shu 埃尔寄蝇属
'ai'fu'ji'ying'shu 埃蜉寄蝇属
'ai'fu'jia'ba 爱副铗八
'ai'ge'fei'ji'ying 艾格菲寄蝇
'ai'ge'wu'luo'shi'ying 埃格乌罗实蝇
'ai'gen'rong'jie 艾根绒蚧
'ai'gong'bei'yi 哀弓背蚁
'ai'guo'luo'shu 埃蜾蠃属
'ai'hao'e'qian'ying 艾蒿萼潜蝇
'ai'hao'hui'wen'ye'chan 艾蒿灰纹叶蝉
'ai'hao'lv'ye'chan 艾蒿绿叶蝉
'ai'hao'qian'tu'ya'jian'feng 艾蒿前突蚜茧蜂
'ai'he'ting 艾赫蜓
'ai'huang'shu 埃蝗属
'ai'hui'die'shu 埃灰蝶属
'ai'hui'die'shu 爱灰蝶属
'ai'hui'die'shu 皑灰蝶属
'ai'hui'die'shu 艾灰蝶属
'ai'hui'die'shu 霭灰蝶属
'ai'hui'ying 矮秽蝇
'ai'ji'chang'suo'tiao'xiao'feng 埃及长索跳小蜂
'ai'ji'chui'mian'jie 埃及吹绵蚧
'ai'ji'ci'tui'shi'ya'ying 埃及刺腿食蚜蝇
'ai'ji'deng'quan'ji'ying 埃及等鬈寄蝇
'ai'ji'fen'jie'tiao'xiao'feng 埃及粉蚧跳小蜂
'ai'ji'feng'shu 埃姬蜂属
'ai'ji'feng'shu 爱姬蜂属
'ai'ji'hong'chun 埃及红蝽
'ai'ji'huang 埃及蝗
'ai'ji'ma'ying 埃及麻蝇
'ai'ji'mian'ye'e 埃及棉夜蛾
'ai'ji'mu'xu'xiang'nie'xiao'feng 埃及苜蓿象啮小蜂
'ai'ji'sai'feng'ma'ying 埃及赛蜂麻蝇
'ai'ji'shu'huang 埃及树蝗
'ai'ji'ying'shu 艾寄蝇属
'ai'jia'die'shu 埃蛱蝶属
'ai'jia'die'shu 霭蛱蝶属
'ai'jian'yi 艾箭蚁
'ai'jiao'chan'shu 埃角蝉属
'ai'jiao'chan'zu 埃角蝉族
'ai'jin'ye'jia 艾金叶甲
'ai'jing'jie 艾旌蚧
'ai'ke'dian'jing'ya'jian'feng 埃柯点径蚜茧蜂
'ai'ke'pa'sai'dong'shi'ying 埃克帕塞东实蝇
'ai'ke'si'de'ma'la'shi'ying 埃克斯德马拉实蝇
'ai'ke'si'ji'meng'yi 埃克斯姬猛蚁
'ai'ke'suo'zhe'chi'xiao'feng 爱克梭褶翅小蜂
'ai'ke'tuo'shi'ying'shu 埃可托实蝇属
'ai'ke'zhu'e'shu 埃克祝蛾属
'ai'la'shi'ying'shu 埃拉实蝇属
'ai'la'te'li'ta'shi'ying 埃拉特里塔实蝇
'ai'la'xiao'feng'shu 埃拉小蜂属
'ai'lang'zhu'shu 艾狼蛛属
'ai'lao'gu'yuan 哀牢古蚖
'ai'lao'shan'ken'yuan 哀牢山肯蚖
'ai'lao'shan'ta'yi 哀牢山塔蚁
'ai'lei'shi'ying'shu 埃雷实蝇属
'ai'li'ban'min'zhu 艾利斑皿蛛
'ai'li'hui'die'shu 艾丽灰蝶属
'ai'li'ji'ying'zu 埃里寄蝇族
'ai'li'jian'feng'shu 埃利茧蜂属
'ai'li'mu'shi 艾梨木虱
'ai'li'te'wei'da'shi'ying 埃里特维达实蝇
'ai'li'ye'e'shu 爱丽夜蛾属
'ai'lie'chun'shu 哎猎蝽属
'ai'lu'la'chan'shu 叆璐蜡蝉属
'ai'lun'shan'shan'cong 艾伦扇山蟌
'ai'luo'hui'die'shu 艾洛灰蝶属
'ai'luo'xiang'bai'yi 蔼罗象白蚁
'ai'lv'ye'chan 艾绿叶蝉
'ai'ma'xian'die'shu 埃马蚬蝶属
'ai'mai'la'chan'shu 嫒脉蜡蝉属
'ai'mei'fu'jia 爱媚副铗
'ai'mei'liu'e'yi 爱美瘤颚蚁
'ai'meng'yi'shu 埃猛蚁属
'ai'mian'feng'shu 矮面蜂属
'ai'mian'ying'wen 艾绵瘿蚊
'ai'mu'xian'die'shu 艾姆蚬蝶属
'ai'nei'ji'ying'shu 埃内寄蝇属
'ai'nei'ji'ying'zu 埃内寄蝇族
'ai'ni'shi'ying'shu 埃尼实蝇属
'ai'nong'die'shu 艾弄蝶属
'ai'nong'mao'ying'wen 艾浓毛瘿蚊
'ai'nuo'guang'jian'xiao'feng 埃诺广肩小蜂
'ai'nuo'guang'jian'xiao'feng'shu 埃诺广肩小蜂属
'ai'pu'ju'xian'wen 埃普局限蚊
'ai'pu'zhu'shu 艾普蛛属
'ai'qie'ye'feng 艾切叶蜂
'ai'qiu'sou 艾球螋
'ai'rong'fen'jie 艾绒粉蚧
'ai'rong'jie 艾绒蚧
'ai'ruo'wu'zhu 艾偌舞蛛
'ai'sa'ji'xi'na'si'shi'ying 埃萨基西纳斯实蝇
'ai'sai'shi'jia'jian'feng 埃塞食甲茧蜂
'ai'sha'xian'die'shu 艾莎蚬蝶属
'ai'shan'hua'huang 爱山华蝗
'ai'shi'bian'xiong'qie'ye'yi 埃氏扁胸切叶蚁
'ai'shi'hua'xie'zhu 埃氏花蟹蛛
'ai'shi'ji'feng'shu 隘室姬蜂属
'ai'shi'jia'jian'feng 埃食甲茧蜂
'ai'shi'jian'yi 埃氏箭蚁
'ai'shi'ju'fu'yi 艾氏举腹蚁
'ai'shi'lan'dai'wen 爱氏蓝带蚊
'ai'shi'ling'xiao'ye'chan 艾氏零小叶蝉
'ai'shi'ni'mao'yi 埃氏拟毛蚁
'ai'shi'qian'jie'yi 埃氏前结蚁
'ai'shi'rong'xiao'du 爱氏榕小蠹
'ai'shi'shi'chun'ting 艾氏施春蜓
'ai'shi'shu 埃虱属
'ai'shi'shuang'jie'xing'jun'yi 艾氏双节行军蚁
'ai'shi'wei'jiao'ya 爱氏伪角蚜
'ai'shi'xi'chang'yi 艾氏细长蚁
'ai'shi'xin'xue'shi 艾氏新血虱
'ai'shi'ya'kuan'qiao'jian'feng 艾氏亚宽鞘茧蜂
'ai'shi'ying'shu 艾实蝇属
'ai'shi'zhen'jie'yi 埃氏真结蚁
'ai'si'a'shi'ying'shu 埃斯阿实蝇属
'ai'si'luo'shi'ying'shu 埃斯罗实蝇属
'ai'si'te'suo'fei'shi'ying 埃斯特索菲实蝇
'ai'si'ya'shu 埃斯蚜属
'ai'suo'e'shu 皑蓑蛾属
'ai'suo'shi'ying'shu 埃索实蝇属
'ai'tang'shu 矮螳属
'ai'ti'gong'bei'yi 艾提弓背蚁
'ai'tu'huang'shu 瑷秃蝗属
'ai'tu'yao'wen'shu 矮突摇蚊属
'ai'tun'da'hei'sai'jin'gui 矮臀大黑鳃金龟
'ai'wei'jiao'ya 爱伪角蚜
'ai'wei'jiao'ya'mei'tan 爱伪角蚜湄潭
'ai'wu'kuo'tiao'fei'shi 埃乌阔条飞虱
'ai'wu'zhu'shu 艾舞蛛属
'ai'xi'cong'shu 爱犀蟌属
'ai'xiao'chang'guan'ya 艾小长管蚜
'ai'xiao'die'shu 艾绡蝶属
'ai'xiao'xi'zao 矮小细蚤
'ai'xiao'xie'jie'yi 矮小斜结蚁
'ai'xiao'ye'chan'shu 埃小叶蝉属
'ai'xiao'zhi'qian'ying 矮小植潜蝇
'ai'xiu'la'chan'shu 皑袖蜡蝉属
'ai'ya'shu 矮蚜属
'ai'yan'die'shu 皑眼蝶属
'ai'ye'chan 艾叶蝉
'ai'ye'e 艾夜蛾
'ai'ye'e'shu 爱夜蛾属
'ai'ye'e'shu 隘夜蛾属
'ai'yi 哀蚁
'ai'yin'guan'ya 艾隐管蚜
'ai'ying'wen 艾瘿蚊
'ai'ying'wen'shu 艾瘿蚊属
'ai'yuan'cong'shu 埃原蟌属
'ai'zhou'e 霭舟蛾
'ai'zhou'e'shu 霭舟蛾属
'ai'zhu'shu 埃蛛属
'ai'zhu'shu 艾蛛属
'ai'zi'ye'chan 艾紫叶蝉
'an'bai'yi 桉白蚁
'an'ban'chi'shi'ying'zu 暗斑翅实蝇族
'an'ban'duan'ji'ji'feng 暗斑端脊姬蜂
'an'ban'hua'chi'shi'ying 暗斑花翅实蝇
'an'ban'liu'xiong 暗斑瘤胸
'an'ban'ming'shu 暗斑螟属
'an'ban'san'tian'niu 暗斑散天牛
'an'ban'wang'guan'ji'ma 暗斑网管蓟马
'an'ban'ye'ji'feng 暗斑野姬蜂
'an'bao'zhu 暗豹蛛
'an'bei'chou'yi 鞍背臭蚁
'an'bian'die 暗边蝶
'an'bian'shen'ye'e 暗扁身夜蛾
'an'bian'xia'hei'bei'huang 岸边狭黑背蝗
'an'bian'yi'bei'huang 岸边异背蝗
'an'bian'zhou'xi'huang 暗边皱膝蝗
'an'bo'chi'e 暗波尺蛾
'an'can'shu 桉蚕属
'an'chang'dao'ye'feng 暗长刀叶蜂
'an'chang'dun'jie 安长盾蚧
'an'chi'ci'jian'feng 暗翅刺茧蜂
'an'chi'dao'fu'jian'feng 暗翅刀腹茧蜂
'an'chi'di'bai'yi 暗齿地白蚁
'an'chi'dian'ban'he'ke'sha'shi'ying 暗翅点斑赫克沙实蝇
'an'chi'fu'huang 暗翅负蝗
'an'chi'gong'jian'feng 暗翅拱茧蜂
'an'chi'gu'hua'chun 暗齿股花蝽
'an'chi'gua'jie'ji'xiao'feng 暗翅寡节姬小蜂
'an'chi'hei'luan'feng 暗翅黑卵蜂
'an'chi'hua'yi'jian'feng 暗翅华蚁茧蜂
'an'chi'jian'jiao'huang 暗翅剑角蝗
'an'chi'kuo'tiao'fei'shi 暗翅阔条飞虱
'an'chi'lie'chun 安赤猎蝽
'an'chi'rang'bai'yi 暗齿壤白蚁
'an'chi'san'feng'jian'feng 暗翅三缝茧蜂
'an'chi'tong'tian'niu'fei'shi'ya'zhong 暗翅筒天牛费氏亚种
'an'chi'tong'tian'niu'hei'jing'ya'zhong 暗翅筒天牛黑胫亚种
'an'chi'tu'bai'yi 暗齿土白蚁
'an'chi'wu'ci'feng 暗翅无刺蜂
'an'chi'xiang'jia'ji'feng 暗翅象甲姬蜂
'an'chi'xiao'zhi'ya'jian'feng 暗翅小痣蚜茧蜂
'an'chi'xu'mang'chun 暗赤须盲蝽
'an'chi'ye'e'shu 暗翅夜蛾属
'an'chi'ye'huang 暗翅野蝗
'an'chi'zha'meng 暗翅蚱蜢
'an'chi'zhou'e'shu 暗齿舟蛾属
'an'chun 暗蝽
'an'chun'shu 暗蝽属
'an'chun'ting'shu 安春蜓属
'an'da'bai'yi 桉大白蚁
'an'da'ye'chan'shu 安大叶蝉属
'an'da'you'shi'da'qiao'jia 安达佑实大锹甲
'an'dai'guang'chi'la'chan 暗带广翅蜡蝉
'an'dai'he'yan'die 暗带褐眼蝶
'an'dan'ci'jie'yi 暗淡刺结蚁
'an'dan'zhua'ao'feng 鞍单爪螯蜂
'an'dian'bai'xing'hai'yu'ya 暗点白星海芋蚜
'an'dian'bo'wen'e 安点波纹蛾
'an'dian'gong'chi'e 暗点贡尺蛾
'an'diao'liao'chan 岸蛁蟟蝉
'an'ding'xi'zhu 安定隙蛛
'an'ding'ya'chun'ting 安定亚春蜓
'an'dong'mo'lu'zhu 安东莫鲁蛛
'an'dong'ye'e'shu 暗冬夜蛾属
'an'dou'gui'chun 暗豆龟蝽
'an'du'e 暗毒蛾
'an'duan'san'ci'jiao'chan 暗端三刺角蝉
'an'duan'suo'fei'shi'ying 暗端索菲实蝇
'an'dui'wen'ying'feng'shu 安堆纹瘿蜂属
'an'dun'chi'ding'fei'shi 暗盾匙顶飞虱
'an'dun'jie'shu 安盾蚧属
'an'dun'mu'shi'shu 桉盾木虱属
'an'dun'quan'feng'chang'chun 暗盾全缝长蝽
'an'dun'xiong'qie'ye'yi 暗盾胸切叶蚁
'an'duo'tai'mao'ya 暗多态毛蚜
'an'e'fu'chi'gu'ying 暗额跗齿股蝇
'an'e'li'mai'fei'shi 暗额粒脉飞虱
'an'er'jiao'chan 安耳角蝉
'an'fei'yan'die'shu 安霏眼蝶属
'an'fen'jie'shu 安粉蚧属
'an'feng'meng'shu 安蜂虻属
'an'feng'shu 暗蜂属
'an'fu'chi'e 暗幅尺蛾
'an'fu'guo'ying 暗腹果蝇
'an'fu'li'gou'yi 暗腹犁沟蚁
'an'fu'xi'xiong'yi 暗腹细胸蚁
'an'fu'xue'ji'yuan'niao'shi 暗腹雪鸡圆鸟虱
'an'gan'bai'yi 桉干白蚁
'an'ge'bao'zhu 安哥豹蛛
'an'ge'la'shan'yang'yu'shi 安哥拉山羊羽虱
'an'geng'yi'jiao'ya'xiao'feng 暗梗异角蚜小蜂
'an'gu'bei'fei'shi 暗古北飞虱
'an'gu'si'hua'chi'shi'ying 安古斯花翅实蝇
'an'guan'fu'jin'xiao'feng 安管腹金小蜂
'an'guang'xiao'du 暗光小蠹
'an'he'cha'tu'yuan'e 暗褐叉突原蛾
'an'he'chang'bing'jian'feng 暗褐长柄茧蜂
'an'he'chi'yan'feng 暗褐赤眼蜂
'an'he'di'lao'hu 暗褐地老虎
'an'he'e 暗褐蛾
'an'he'gao'e 暗褐缟蛾
'an'he'ji'ma 暗褐蓟马
'an'he'ju'fu'yi 暗褐举腹蚁
'an'he'xia'chi'ye'e 暗褐狭翅夜蛾
'an'he'yi 暗褐蚁
'an'hei'chi'yan'feng 暗黑赤眼蜂
'an'hei'chi'zhao'sai'jin'gui 暗黑齿爪鳃金龟
'an'hei'dan'jian'fei'shi 暗黑淡肩飞虱
'an'hei'hua'zhi 暗黑华枝
'an'hei'ku'shi'fei'shi 暗黑库氏飞虱
'an'hei'liu'ji'feng 暗黑瘤姬蜂
'an'hei'meng 暗黑虻
'an'hei'pan'fu'yi 暗黑盘腹蚁
'an'hei'rou'ji'ying 暗黑柔寄蝇
'an'hei'song'yuan'dun'jie 暗黑松圆盾蚧
'an'hei'yao'wen 暗黑摇蚊
'an'hei'yuan'chun 暗黑缘蝽
'an'hei'yuan'jie 暗黑圆蚧
'an'hong'dan'tu'si'wei'sou 暗红单突丝尾螋
'an'hong'fu'sui'feng 暗红腹隧蜂
'an'hong'ju'feng'shu 暗红锯蜂属
'an'hong'liu'ye'feng 暗红柳叶蜂
'an'hong'meng 暗红虻
'an'hong'san'leng'jiao'zha 暗红三棱角蚱
'an'hou'jiao'dian'fu'sou 暗后娇垫跗螋
'an'hu'lan'dai'wen 暗糊蓝带蚊
'an'hu'yuan'meng 暗糊原虻
'an'hua'jian'feng 暗滑茧蜂
'an'hua'pi'zhu 暗花皮蛛
'an'huan'die'shu 暗环蝶属
'an'huang'shu 暗蝗属
'an'hui'ci'chi 安徽刺齿
'an'hui'die'shu 安灰蝶属
'an'hui'die'shu 暗灰蝶属
'an'hui'dong'ye'zhu 安徽洞叶蛛
'an'hui'hui'bian'chun 安徽喙扁蝽
'an'hui'ji'fu 安徽基蜉
'an'hui'ji'ling'xi 安徽唧蛉蟋
'an'hui'jia'ma'zhu 安徽加马蛛
'an'hui'kuan'ji'chan 安徽宽基蝉
'an'hui'liu'yan'you'ling 安徽六眼幽灵
'an'hui'sang'lu'zhong 安徽桑露螽
'an'ji'chang'ti'jian'feng 安吉长体茧蜂
'an'ji'jian'feng 暗脊茧蜂
'an'ji'pi'ji'ma 暗棘皮蓟马
'an'ji'qiao'jun'wen 安吉巧菌蚊
'an'ji'ying'shu 安寄蝇属
'an'jia'die'shu 安蛱蝶属
'an'jiao'guan'ji'ma 暗角管蓟马
'an'jie'gou'e 暗洁钩蛾
'an'jie'luo'shi'ying'shu 安杰罗实蝇属
'an'jin'xiao'feng'shu 安金小蜂属
'an'jing'liu'tou'hui'ying 安静溜头秽蝇
'an'ju'gou'e 暗距钩蛾
'an'juan'e 桉卷蛾
'an'kou'jia'shu 暗叩甲属
'an'kuan'xiong'ying'hu 暗宽胸蝇虎
'an'lan'chang'zu'ye'feng 暗蓝长足叶蜂
'an'lan'dun'mu'shi 桉蓝盾木虱
